id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
1403129,Penthouse Designer Loft Brooklyn,7573341,Robert,Brooklyn,Sunset Park,40.63947,-74.01888,Entire home/apt,195,2,220,2019-06-27,3.10,2,287
1403466,Brooklyn Retreat,212738,Julian,Brooklyn,Bushwick,40.69916,-73.92219,Private room,58,5,31,2019-02-28,0.43,1,297
1403635,Sunny & large W. Harlem private 1 bedroom.,754675,Lucy,Manhattan,Harlem,40.82036,-73.95589,Private room,75,5,3,2018-12-31,0.16,1,0
1403870,Sunny Soho Apartment with Great Views,7576337,Beth,Manhattan,SoHo,40.72587,-74.00186,Entire home/apt,200,4,68,2019-04-27,0.95,1,21
1404355,Jazz it Up in Brooklyn,7557833,Christine,Brooklyn,Bedford-Stuyvesant,40.69063,-73.94534,Private room,75,2,33,2019-05-23,0.52,5,201
1404510, A charming Space in Brooklyn ,7557833,Christine,Brooklyn,Bedford-Stuyvesant,40.6918,-73.94673,Private room,95,2,44,2019-01-25,0.64,5,47
1404828,Bohemian Paradise in Industrial BK,7581642,Ehren,Brooklyn,Williamsburg,40.70759,-73.92678,Private room,99,2,189,2017-12-20,2.63,1,0
1407364,BROOKLYN'S FAVORITE BROWNSTONE in HIPSTER BED-STUY,7591257,Ruty,Brooklyn,Bedford-Stuyvesant,40.68444,-73.94201,Private room,275,3,20,2019-04-28,0.34,1,257
1408406,"Beautiful, spacious apartment - with a cute cat!",5761173,Kappie,Brooklyn,Downtown Brooklyn,40.69648,-73.98261,Entire home/apt,162,2,11,2019-01-01,0.44,1,0
1408914,"Modern, Art Deco Chelsea Studio",2594389,Arsen,Manhattan,Chelsea,40.74206,-73.99499,Entire home/apt,200,3,0,,,1,345
1409947,SOHO Sanctuary Privately Owned,7603226,Lysa,Manhattan,SoHo,40.72347,-74.00488,Entire home/apt,285,5,11,2017-06-18,0.16,1,173
