GATE_TYPE,GATE_NAME,COUNTY_NAME,NEIGHBORHOOD_NAME,LOCATION,STREET_NAME,LATITUDE,LONGITUDE
Araç Alt Geçidi,Kanuni Sultan Süleyman Cad. Araç Alt Geçidi,BAŞAKŞEHİR,BAŞAK,4.Etap Arkası YSS Bağlantı Yolu,Kanuni Sultan Süleyman Cad.,41.103271611824,28.810193655935
Araç Alt Geçidi,Akmescit Sok. Araç Alt Geçidi,BAKIRKÖY,ATAKÖY 1. KISIM,Bakırköy Spor Kulübü,Akmescit sk,40.9800335897952,28.8675874722798
Yaya Üst Geçidi,Ssk Okmeydanı Hastane Yaya Üst Geçidi,ŞİŞLİ,KAPTANPAŞA,Ssk Okmeydanı Hastane Yaya Üst Geçidi,O-1,41.0673692783476,28.9754142746119
Araç Üst Geçidi,Mahmutbey İstoç Köprü,BAĞCILAR,MAHMUTBEY,İstoç-Oto Ticaret - Mahmutbey Köprü,Mahmutbey Caddesi,41.0689455816486,28.8338135234618
Araç Alt Geçidi,TEM-Haramadire Bağlantı Yolu Araç Alt Geçidi,ESENYURT,ESENKENT,Bahçeşehir- Haramidere Bağlantısı,E-5 Tem Haramidere Bağlantı Yolu,41.0550114820602,28.6823791490165
Viyadük,O 2 Viyadük,BAĞCILAR,100.Yıl,O-2 Hüseyin Karaaslan Caddesi,O-2,41.0634164713481,28.848620486665
Köprü,Armutlu Tem Katılımı,SARIYER,RUMELİ HİSARI,Tem Etiler Bağlantı Yolu Üstü,Baltalimanı Hisarüstü Yolu,41.0906834947762,29.0468996584464
Köprü (Dere),Çatalca - Gökçeali Yolu 2,ÇATALCA,KALEİÇİ,İnceğiz Kavşağından Gökçeali İstikametinde 1+000 km.,Gökçeali Cad.,41.1762080918475,28.4531414296492
Araç Üst Geçidi,Bilinmiyor,Bilinmiyor,Bilinmiyor,Bilinmiyor,Bilinmiyor,41.0755009288046,28.8385492857339
Araç Üst Geçidi,YSS Yolu Mahmutbey Gişeler Bağlantı Köprüsü,BAŞAKŞEHİR,ZİYA GÖKALP,Mall Of İstanbul Karşısı,Bilinmiyor,41.0638654649687,28.8118639741041
Araç Üst Geçidi,Kızılay Caddesi Bağlantı Köprüsü,BAŞAKŞEHİR,ZİYA GÖKALP,O-6 Bağlantı Yolu Kızılay Caddesi Kesişimi,Kızılay Caddesi,41.0825658611455,28.8129073010222
Köprü (Dere),Fener-Silivri Yolu 2,SİLİVRİ,FENER ,Akören Dört Yoldan Fener İstikametine doğru 1+940 km sonra,Mustafa Kemal Cad.,41.1463980782441,28.2614430667294
Araç Üst Geçidi,TEM Bahçeşehir Bağlantı Köprüsü,AVCILAR,TAHTAKALE,TEM Bahçeşehir Bağlantısı,Bilinmiyor,41.0561327351375,28.7126606535465
Yaya Üst Geçidi,Yıldız Teknik Üniversitesi Önü,BEŞİKTAŞ,YILDIZ,Yıldız Teknik Üniversitesi Önü,Barbaros-E-5 Bağlantı Yolu,41.0511951927847,29.0090583837612
Köprü (Dere),Bekirli - İhsaniye Yolu 4,ÇATALCA,İHSANİYE,İhsaniye'den Bekirli İstikametine Giderken 1+000 km. Sonra,Bekirli Caddesi,41.2443498909005,28.347563832483
Yaya Üst Geçidi,Selimpaşa Çıkış Yaya Üst Geçit,SİLİVRİ,SELİMPAŞA,Selimpaşa çıkışı  Silivri İstikametinde 1+000 km ,D100 Karayolu,41.0590327538181,28.3577094402499
Araç Alt Geçidi,Memorial Bahçelievler Önü,BAHÇELİEVLER,Bilinmiyor,Şirinevler Yanyol Bağlantısı,Bilinmiyor,40.9927407858503,28.851522696463
Araç Alt Geçidi,CNR Araç Alt Geçidi,BAKIRKÖY,YEŞİLKÖY,CNR,Havalimanı yolu,40.9851630597794,28.8266399473291
Araç Üst Geçidi,Nurtepe Kavşağı Köprüsü,EYÜP,GÜZELTEPE,Nurtepe,Nurtepe Kavşağı,41.0651290676985,28.9513012450866
Araç Alt Geçidi,Büyükdere Cad. 4.Levent Araç Alt Geçidi,BEŞİKTAŞ,ESENTEPE,Büyükdere Cad.,Büyükdere Cad.,41.0932884064364,29.0052020067664
Köprü,Ç.Çeşme Kavşağı-3,KÜÇÜKÇEKMECE,KARTALTEPE,Havaalanı Yanı E-5 Bağlantısı,D-100,40.9921321071239,28.8184088897634
Köprü,Volvo Köprü 1,ZEYTİNBURNU,KAZLIÇEŞME,Demirhane Caddesi Zübeyde Hanım Cad. Kesişimi,Demirhane Caddesi,40.9885576015596,28.9085015318285
Yaya Üst Geçidi,Saya Yokuşu Üst Geçidi,EYÜP,ÇIRÇIR,Alibeyköy,Atatürk Bulvarı,41.0798701723443,28.9321794900509
Yaya Üst Geçidi,Derimod Yaya Üst Geçidi,ZEYTİNBURNU,KAZLIÇEŞME,2.B Belediye Önü,Sahil Kennedy Cad.,40.9863077021952,28.9094969388809
Yaya Üst Geçidi,Kumcular Yaya Üst Geçidi,ZEYTİNBURNU,KAZLIÇEŞME,Kumcular,Sahil Kennedy Cad.,40.9818344972245,28.8927692090763
